id,program_areas,strategies,categories
424,Special Initiatives,,From the President|Democracy
526,,,From the President
591,Climate,Clean Energy,
590,Climate,Clean Energy,
588,Climate,Clean Energy,
589,Education,,
546,Climate,,
420,,,Job Openings
538,Education,,
525,Climate,Climate Resilience,
592,,,Grants Announcements
261,Arts & Creativity,,Job Openings
714,,,From the President|COVID-19
544,Arts & Creativity,,From the President|Racial Equity
40,,,Global
537,Arts & Creativity,,
540,Education,,
713,,,
542,Climate,Mobility,
820,,,Racial Equity
711,,,Learning & Evaluation
539,Sector Effectiveness,,
594,Arts & Creativity,,
715,,,COVID-19|From the President|Racial Equity
676,Education,Invest in Educators,
548,,,Grants Announcements
547,Education,,
473,Climate,Climate Resilience,
630,Education,,
632,Climate,Mobility,Racial Equity
545,Education,,
481,Education,,Job Openings
16,Arts & Creativity,,
530,Arts & Creativity,,Learning & Evaluation
634,Arts & Creativity,,
523,Special Initiatives,Waterfront Initiative,Job Openings
532,Climate,,
529,,,Job Openings
533,Arts & Creativity,,
520,Climate,Clean Energy,
534,Sector Effectiveness | Special Initiatives,,Democracy
472,,Clean Energy,Job Openings
531,,,Grants Announcements
710,Climate,Mobility | Clean Energy | Climate Resilience,
550,Sector Effectiveness,Barr Fellowship,From the President
821,Education,,
636,,,Grants Announcements
639,,,Learning & Evaluation
674,,,From the President|Racial Equity
673,,,From the President
721,,,Grants Announcements
717,Education,,COVID-19
716,,,COVID-19|From the President
672,Education,,
822,,,From the President|Racial Equity
718,,,From the President|Racial Equity
722,,,COVID-19|From the President|Racial Equity
833,,,
767,Education,Invest in Educators,
549,Education,,
638,Education,,
824,Education,,
827,,,From the President|Racial Equity
826,,,Job Openings
524,,,Job Openings
828,Climate,Climate Resilience,
772,Climate,Mobility,
830,,,Racial Equity
823,Climate,,Racial Equity
832,Education,Invest in Educators,
766,Arts & Creativity,,
757,Climate,Mobility,COVID-19
760,,,Grants Announcements|Racial Equity
763,Climate,,Racial Equity
769,Climate,Clean Energy,
764,Climate,Climate Resilience,
758,Arts & Creativity,,Racial Equity
765,Education,,
677,,,Job Openings
834,,,Job Openings
770,,,COVID-19|Racial Equity
762,Education,,
720,,,
966,Arts & Creativity,,
771,,,Grants Announcements
219,Climate,,Job Openings
675,,,Job Openings
13,Education,,
777,Climate,Mobility | Clean Energy | Climate Resilience,
842,,,Grants Announcements
200,Climate,Mobility,
836,Climate,,Job Openings
843,,,From the President
841,Education,,
844,Arts & Creativity,,Powering Cultural Futures|Racial Equity
845,Special Initiatives,Waterfront Initiative,
825,Arts & Creativity,,Powering Cultural Futures|Racial Equity
852,,,From the President
536,Special Initiatives,Waterfront Initiative,
909,Education,Invest in Educators,
329,Climate,Mobility,BostonBRT|Learning & Evaluation
195,Climate,Mobility,
987,,Waterfront Initiative,
283,Education,,Job Openings
150,Climate,Mobility,
931,Education,,
846,,,From the President
925,Climate,,Racial Equity
835,Climate,Climate Resilience,
854,Climate,Mobility,
935,Arts & Creativity,,
943,,,
853,,,Grants Announcements
851,Climate,Mobility,
848,Climate,,Racial Equity
922,Climate,,
920,Education,,Engage New England
937,,,Racial Equity
927,Arts & Creativity,,
928,,Waterfront Initiative,
898,,,Grants Announcements
932,Special Initiatives,Waterfront Initiative,
941,,Racial Wealth Equity Initiative,Racial Equity
759,Arts & Creativity,,Powering Cultural Futures|Racial Equity
942,,,Job Openings
284,Arts & Creativity,,Job Openings
899,,,Racial Equity|From the President
860,Climate,Mobility,
861,Arts & Creativity,,Job Openings
855,Arts & Creativity,,Racial Equity
858,,Waterfront Initiative,
857,Climate,Clean Energy,
87,Sector Effectiveness,Barr Fellowship,
859,,,Job Openings
856,Climate,Mobility,
635,Education,,Job Openings
917,,,
862,Education,Invest in Educators,
897,Arts & Creativity,,
904,Education,Invest in Educators,
430,,,Job Openings
863,Education,Invest in Educators,
903,Sector Effectiveness,,Racial Equity
