Organization Name,Docket Record Name,Request Number,Program Areas,Strategies
"Educators for Excellence, Inc.","23-35571 - Educators for Excellence, Inc.",23-35571,delete,delete
"Our Turn, Inc.","23-35624 - Our Turn, Inc.",23-35624,delete,delete
"50CAN, Inc.","23-35625 - Connecticut Coalition for Achievement Now, Inc.",23-35625,delete,delete
New Venture Fund,23-35556 - Campaign for Our Shared Future,23-35556,delete,delete
"Nellie Mae Education Foundation, Inc.","23-35411 - Nellie Mae Education Foundation, Inc.",23-35411,delete,delete
"Boston Schools Fund, Inc.","23-35525 - Boston Schools Fund, Inc.",23-35525,delete,delete
"50CAN, Inc.",23-35541 - SchoolFacts Boston,23-35541,delete,delete
Georgetown University,23-35421 - Georgetown University,23-35421,delete,delete
Rennie Center for Education Research and Policy,23-35569 - Rennie Center for Education Research and Policy,23-35569,delete,delete
"50CAN, Inc.","23-35420 - 50CAN, Inc.",23-35420,delete,delete
Parents Leading for Educational Equity,23-35545 - Parents Leading for Educational Equity,23-35545,delete,delete
Citizens for Juvenile Justice,23-35565 - Citizens for Juvenile Justice,23-35565,delete,delete
Georgetown University,23-35682 - Georgetown University,23-35682,delete,delete
"Lawyers for Civil Rights, Inc.","23-35554 - Lawyers for Civil Rights, Inc.",23-35554,delete,delete
"The Record Company, Inc.","23-35493 - The Record Company, Inc.",23-35493,delete,delete
"The Berkshire Taconic Community Foundation, Inc.","23-35368 - The Berkshire Taconic Community Foundation, Inc.",23-35368,delete,delete
Benjamin Franklin Institute of Technology,23-35645 - Benjamin Franklin Institute of Technology,23-35645,delete,delete
Massachusetts Development Finance Agency,23-35233 - Massachusetts Development Finance Agency,22-35233,delete,delete
"The Massachusetts LGBT Business Network, Inc.","22-35227 - The Massachusetts LGBT Business Network, Inc.",22-35227,delete,delete
