Request Number,Docket Record Name,Organization Name,Grant Amount,grant_amount_number,Amount (Fund-Coding),program_areas,strategies,Grant Purpose,Award Date,Fund Name,Award Year,Department
17-06412--2,"17-06412--2 - Union of Concerned Scientists, Inc.","Union of Concerned Scientists, Inc.","$600,000.00","600,000.00","$300,000.00",Climate,Climate Resilience,"to support analysis, outreach, and policy education on climate change impacts",9/27/2017,Grants,2017,Climate
17-06436,"17-06436 - Greater Worcester Community Foundation, Inc.","Greater Worcester Community Foundation, Inc.","$500,000.00","500,000.00","$125,000.00",Arts & Creativity,Spanning Sectors,To support the Creative Arts Grant and Community Convening Initiative,12/5/2017,Grants,2017,Arts
17-06436--2,"17-06436--2 - Greater Worcester Community Foundation, Inc.","Greater Worcester Community Foundation, Inc.","$500,000.00","500,000.00","$375,000.00",Arts & Creativity,Adapting Boldly,To support the Creative Arts Grant and Community Convening Initiative,12/5/2017,Grants,2017,Arts
17-06438,"17-06438 - Community Foundation of Southeastern Massachusetts, Inc.","Community Foundation of Southeastern Massachusetts, Inc.","$500,000.00","500,000.00","$200,000.00",Arts & Creativity,Spanning Sectors,"To support the Arts, Culture, and Creativity: What's Next? Initiative",12/5/2017,Grants,2017,Arts
17-06438--2,"17-06438--2 - Community Foundation of Southeastern Massachusetts, Inc.","Community Foundation of Southeastern Massachusetts, Inc.","$500,000.00","500,000.00","$300,000.00",Arts & Creativity,Adapting Boldly,"To support the Arts, Culture, and Creativity: What's Next? Initiative",12/5/2017,Grants,2017,Arts
17-06439,"17-06439 - Essex County Community Foundation, Inc.","Essex County Community Foundation, Inc.","$500,000.00","500,000.00","$150,000.00",Arts & Creativity,Adapting Boldly,To support the Creative County Initiative,12/5/2017,Grants,2017,Arts
17-06439--2,"17-06439--2 - Essex County Community Foundation, Inc.","Essex County Community Foundation, Inc.","$500,000.00","500,000.00","$350,000.00",Arts & Creativity,Spanning Sectors,To support the Creative County Initiative,12/5/2017,Grants,2017,Arts
17-06440,"17-06440 - The Berkshire Taconic Community Foundation, Inc.","The Berkshire Taconic Community Foundation, Inc.","$500,000.00","500,000.00","$150,000.00",Arts & Creativity,Spanning Sectors,To pilot the Berkshire Arts and Creativity Initiative to increase access to the arts for Berkshire County residents,12/5/2017,Grants,2017,Arts
17-06440--2,"17-06440--2 - The Berkshire Taconic Community Foundation, Inc.","The Berkshire Taconic Community Foundation, Inc.","$500,000.00","500,000.00","$350,000.00",Arts & Creativity,Adapting Boldly,To pilot the Berkshire Arts and Creativity Initiative to increase access to the arts for Berkshire County residents,12/5/2017,Grants,2017,Arts
17-06451,17-06451 - The Trust for Public Land,The Trust for Public Land,"$290,000.00","290,000.00","$145,000.00",Climate,Climate Resilience,To support green infrastructure in the Metro Mayors?Äô Coalition region,8/1/2017,Grants,2017,Climate
